Cosmos Resto Bar,4.3
Suryawanshi,3.7
Kanti Sweets,4.3
Chef Baker's,4.1
Barbeque Delight,4
MASALA MANDI,4
W XYZ,4.2
Sweet Chariot,4.3
Shahi Kadaai,4.3
Pizza Hut,4
Big Pitcher,4.3
From hill to Station Cafe,4.5
Yo! Chow,4.3
Suras Kitchen,2
Anjappar Chettinad,4.2
Kanti Sweets,4.5
Kanti Sweets,4.8
Big Barrel Brewpub,4.4
Subway,5
BLR Brewing Co.,4.2
Kababji Cafe,3.4
Leon's Burgers and Wings,4
Ashwa,2.2
Chef Baker's,4
Onesta,3.9
Shanmukha Restaurant,3.8
Biryanis And More,3.9
Koel's Pizzeria,4.8
Dindigul Thalappakatti,3.9
Pavratha,4.3
Global Dhaba,4.2
Jaffa's Biryani,3.3
Connie's Steakhouse,4
Shree Khana Khazana,4.3
Bangalore Bites,1
Kanti Sweets,4.3
Bhagini - Kitchen & Bar,3.7
Savi Sagar,2.8
Tiger Tiger Brewhouse,4.2
The Bistro @ Global Village,4.5
Marquis Night Club,3.4
Shiva's Restro,4.3
Kanti Sweets,4.5
B1 Pub,4.2
House of Candy,3
Over The Stone,5
Indian Burrito Company,5
Dilli Da Dhaba,4
Kabab Mandra,2.7
Verve Coffee Lounge - Howard Johnson Bengaluru,4.3
Barbeque Nation,4.3
Beijing Bites,4.1
SGS Non Veg Gundu Palav,4.3
Cake Dilim,2.8
Cake Dilim,2.8
Sweet Chariot,4.3
Juice Junction,4.3
Kanti Sweets,4.6
Royal Calcutta,4.8
Naga's,2.3
Thalassery Restaurant,3
AJ-125,4.5
The Hangout,3.6
Frozen Bottle,2
Mad Over Donuts,2
Juice Junction,4.3
Juice Junction,4.3
Boho,4.1
Vasudev Adiga's,5
Cake Dilim,3
Sherlock's Pub,4.1
Thanco's Natural Ice Cream,5
Kanti Sweets,4.6
Chef Baker's,4.3
Teapoy Mutiny,4.3
9th Mile Dhaba,3.9
Chill,4
Khopcha,4.3
Subway,4.8
Kanti Sweets,4.8
Cafe Coffee Day - The Lounge,5
Elixir Kitchen & Bar,2.8
Chowringhee,3.9
Grill Biryanis,1
East Delicious,4.5
Mad Over Donuts,4.4
Gilly's Resto-Bar,4.2
Roma,4.1
Cultch Resto Cafe,5
Imperial Restaurant,3.1
Chef Baker's,4.3
Kanti Sweets,4.6
Imperio Restaurant,4
Flavours,3.3
Kanti Sweets,4.3
ABs - Absolute Barbecues,4.3
Empire Restaurant,4
Beijing Bites,4.4
Chef Baker's,3.9
Asia Seven,1
Dunkin' Donuts,4.2
Kanti Sweets,4.7
Sweet Chariot,4.3
BE-HERE,4.3
NH8,4
Yumjar,4.3
Subway,4.3
Frozen Bottle,3.9
Indian Burrito Company,5
Chef Baker's,4.3
Copper Chimney,4.2
The Pallet Brewhouse & Kitchen,4.2
Curry On Tikka,4.8
Godavari Delights,4.3
ABs - Absolute Barbecues,4.3
Mad Over Donuts,3.8
Lassi Shop,4
Taco Bell,3.7
Mainland China,4.4
Subway,4.3
Hotel Godavari,3
Onesta,3.9
Shanghai Times,4.3
Pot Biryani,4.3
Kanti Sweets,4.8
Chef Baker's,4.7
Shree Mahalakshmi Sweets,4.5
Cold Stone Creamery,4.3
Fox In The Field,4
Beijing Bites,4.2
Barbeque Nation,4.4
Subway,4.3
California Burrito,4.3
Hyderabad Bawarchi Biryani,4
You Mee,4.5
Pizza Hut,4
M Cafe,4.1
Andhra Biryanis,4.3
Happy Chopsticks,4.3
Cake Dilim,2
Frozen Bottle,3.7
Chef Baker's,5
Dil Se Dilli,3
Cake Dilim,4.3
M BAR,4.5
Hyderabad Biryani Multicuisine Restaurant,4.3
Five Star Chicken,2
Punjab Grill,4.1
Shanghai Times,2
Pizza Hut,4.4
Cake Dilim,4.3
Smoke House Deli,4.5
Kanti Sweets,4.2
Whitefield Bar and Grill,3.9
California Burrito,4.3
Salt Nexus Shantiniketan,4.2
California Burrito,4.3
Cold Stone Creamery,4.4
Mad Over Donuts,4.3
Pasta Street,4.5
Feast,4.5
Chime,4.7
Dodo's Smokehouse,4.7
Ishta Cafe,4.3
Cake Dilim,3.5
Ji Hazoor,3.4
Park N Eat,4.3
California Burrito,3.3
Frozen Bottle,4.3
